gameID,location,teamID
81,h,89
81,a,82
82,h,73
82,a,71
83,h,72
83,a,90
84,h,75
84,a,77
85,h,79
85,a,78
86,h,80
86,a,84
87,h,86
87,a,74
88,h,83
88,a,81
89,h,85
89,a,87
90,h,76
90,a,88
91,h,71
91,a,89
92,h,74
92,a,72
93,h,77
93,a,79
94,h,84
94,a,86
95,h,82
95,a,85
96,h,90
96,a,76
97,h,81
97,a,75
98,h,78
98,a,83
99,h,88
99,a,80
100,h,87
100,a,73
101,h,89
101,a,86
102,h,79
102,a,85
103,h,77
103,a,84
104,h,78
104,a,71
105,h,75
105,a,82
106,h,81
106,a,73
107,h,76
107,a,80
108,h,72
108,a,88
109,h,90
109,a,74
110,h,83
110,a,87
111,h,86
111,a,83
112,h,85
112,a,76
113,h,71
113,a,77
114,h,73
114,a,75
115,h,80
115,a,78
116,h,87
116,a,81
117,h,88
117,a,90
118,h,82
118,a,72
119,h,74
119,a,79
120,h,84
120,a,89
121,h,72
121,a,80
122,h,83
122,a,85
123,h,78
123,a,88
124,h,90
124,a,84
125,h,76
125,a,74
126,h,79
126,a,73
127,h,89
127,a,87
128,h,77
128,a,82
129,h,75
129,a,71
130,h,81
130,a,86
131,h,80
131,a,83
132,h,86
132,a,90
133,h,71
133,a,76
134,h,73
134,a,77
135,h,85
135,a,75
136,h,84
136,a,72
137,h,88
137,a,81
138,h,82
138,a,78
139,h,74
139,a,89
140,h,87
140,a,79
141,h,82
141,a,88
142,h,74
142,a,84
143,h,85
143,a,73
144,h,75
144,a,83
145,h,87
145,a,71
146,h,89
146,a,77
147,h,81
147,a,79
148,h,86
148,a,80
149,h,90
149,a,78
150,h,76
150,a,72
151,h,78
151,a,76
152,h,71
152,a,85
153,h,73
153,a,90
154,h,88
154,a,86
155,h,79
155,a,75
156,h,77
156,a,81
157,h,80
157,a,74
158,h,72
158,a,87
159,h,84
159,a,82
160,h,83
160,a,89
161,h,82
161,a,87
162,h,74
162,a,75
163,h,76
163,a,77
164,h,80
164,a,71
165,h,78
165,a,81
166,h,72
166,a,89
167,h,88
167,a,73
168,h,90
168,a,83
169,h,86
169,a,79
170,h,84
170,a,85
